ID;Nombre;Nombre Propietario;Nombre Grupo;Comuna;Tipo Central;Nemotecnico;Descripcion;Estado (Operativa/En Pruebas / En Construccion);Nombre Embalse;Nombre Cuenca;11.1.1 Cantidad unidades generadoras;11.1.2 Puntos de conexión al SI a través de los cuales inyecta energía.;11.1.4 Potencia máxima bruta, para cada tipo de combustible que pueda operar;11.1.5 Consumos propios como % de la potencia máxima bruta;11.1.6 Capacidad máxima, Potencia neta efectiva;11.1.7 Potencia mínima técnica, para cada combustible que pueda operar;11.1.11 Fecha de entrada en operación;Clasificacion;Distribuidora;Diagrama PQ equivalente de la central;Tipo de conversión de energía;Convencional / ERNC;Medio de generacion según DS 244;11.1.38 Tipo;11.1.38 Región;11.1.8 Provincia;11.1.8 Comuna;11.1.38 Número de Comunas de Emplazamiento;11.1.38 Sala de Maquinas: Comuna;11.1.38 Bocatoma: Comuna;11.1.38 Represa: Comuna;11.1.38 Embalse Comuna 1;11.1.38 Embalse Comuna 2;11.1.38 Embalse Comuna 3;11.1.39 Coordenada este;11.1.39 Coordenada norte;11.1.39 Zona o huso [ej: 18H, 19J];11.1.40 Parámetros de partida y detención;Seguimiento;Tecnología;Área de paneles (m2);Modelo del panel;Generación anual de diseño (GWh);Inversión;Empresa;Fecha ingreso SEIA;Fecha de aprobación;LINK;
254;CONTULMO;SAGESA;SAGESA;Contulmo;Termoeléctricas;CE17G018;PMG fuera de servicio;Fuera de Servicio;no aplica;no aplica;1;S/E ANGOL;0,83;0;0,83;0;06/01/2012 12:00:00 A.M.;TÉRMICA;FRONTEL;;;;PMG;DIESEL;BÍO BÍO;ARAUCO;CONTULMO;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;655918,9598;5788908,041;18H;;;;;;;;;;;;
255;TRONGOL-CURANILAHUE;SAGESA;SAGESA;Curanilahue;Termoeléctricas;CE18G018;PMG;Operativa;no aplica;no aplica;3;S/E CURANILAHUE;2,4;0;2,4;0;01/08/2012 12:00:00 a.m.;TÉRMICA;no aplica;;;;PMG;DIESEL;BÍO BÍO;ARAUCO;CURANILAHUE;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;648443,0269;5849287,983;18H;;;;;;;;;;;;
256;LEBU;SAGESA;SAGESA;Lebu;Termoeléctricas;CE19G018;PMG;Operativa;no aplica;no aplica;3;S/E LEBU;2,4;0;2,4;0;29-05-2007 0:00:00;TÉRMICA;no aplica;;;;PMG;DIESEL;BÍO BÍO;ARAUCO;LEBU;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;617435,0271;5836026,037;18H;;;;;;;;;;;;
257;LOS CORRALES 2;AGRICOLA PONCE;ALEJANDRO PONCE EIRL;Río Bueno;Hidroeléctricas;CE03G125;PMGD;Operativa;no aplica;no aplica;1;ALIMENTADOR PILMAIQUEN - MANTIHUE 23 KV;1,035;0,966;1,0250019;;06/02/2013 12:00:00 a.m.;ERNC;SAESA;;;;PMGD;Mini Hidráulica de Pasada;DE LOS RÍOS;RANCO;RIO BUENO;1;RIO BUENO;no aplica;no aplica;no aplica;no aplica;no aplica;727099,9761;5497600,022;18G;;;;;;;;;;;;
258;RENAICO;MAINCO;MAINCO S.A.;Mulchén;Hidroeléctricas;CE01G113;PMG;Operativa;no aplica;no aplica;1;S/E ANGOL 23 KV;6,3;0;6,3;;03/09/2013 12:00:00 A.M.;ERNC;no aplica;TECHNICAL DATA_CHRENAICO_COLOR;;;PMG;MINI HIDRÁULICA DE PASADA;BÍO BÍO;BÍO BÍO;MULCHÉN;1;MULCHEN;MULCHEN;no aplica;no aplica;no aplica;no aplica;727499,9882;5811692,969;18H;;;;;;;;;;;;
259;CMPC PACÍFICO;CMPC CELULOSA;BIOENERGIAS FORESTALES;Collipulli;Termoeléctricas;CE01A021;Autoproductora;Operativa;no aplica;no aplica;3;S/E CELULOSA PACIFICO 220KV;33;0;33;4;"01/01/2014; TG N°3 - 01/05/2014";TÉRMICA;no aplica;;;;no aplica;BIOMASA;ARAUCANÍA;MALLECO;COLLIPULLI;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;721307,5731;5814485,467;18H;Anexo_Parámetros de Parida y Detención_PAC;;;;;;;;;;;
260;BOCAMINA II;ENEL GENERACION;ENEL GENERACIÓN;Coronel;Termoeléctricas;CE21G021;;Operativa;no aplica;no aplica;1;S/E CENTRAL BOCAMINA II 220KV;350;7,862857143;322,48;155;28-10-12;TÉRMICA;no aplica;;;;no aplica;Carbon;BÍO BÍO;CONCEPCÍON;CORONEL;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;663027,0162;5901174,024;18H;;;;;;;;;;;;
261;LAS VERTIENTES;PUNTILLA;PUNTILLA;Pirque;Hidroeléctricas;CE02G019;PMGD;Operativa;no aplica;no aplica;1;ALIMENTADOR CASAS VIEJAS;1,9;1,864550765;1,864573535;;23-12-2013 0:00:00;ERNC;CGED;;;;PMGD;Mini Hidráulica de Pasada;METROPOLITANA DE SANTIAGO;CORDILLERA;PIRQUE;1;PIRQUE;no aplica;no aplica;no aplica;no aplica;no aplica;363638,0105;6282034,021;19H;;;;;;;;;;;;
262;EL LLANO;PUNTILLA;PUNTILLA;Pirque;Hidroeléctricas;CE03G019;PMGD;Operativa;no aplica;no aplica;1;ALIMENTADOR CERRO LA BALLENA;1,919;0,58;1,9078698;;23-12-2013 0:00:00;ERNC;CGED;;;;PMGD;Mini Hidráulica de Pasada;METROPOLITANA DE SANTIAGO;CORDILLERA;PIRQUE;1;PIRQUE;no aplica;no aplica;no aplica;no aplica;no aplica;357604,0448;6278786,96;19H;;;;;;;;;;;;
263;LOS HIERROS;AGUAS DEL MELADO;EMPRESA ELECTRICA AGUAS DEL MELADO S.A.;Colbún;Hidroeléctricas;CE01G112;;Operativa;no aplica;no aplica;2;S/E LOMA ALTA 220KV;25,06;0,239425379;25;3,7;12/04/2014 12:00:00 a.m.;ERNC;no aplica;;;;PMG;Hidraulica Pasada;MAULE;LINARES;COLBÚN;1;LINARES;no aplica;no aplica;no aplica;no aplica;no aplica;313639,9999;6029856,015;19H;;;;;;;;;;;;
